Year,Date,CPIAUCNS,CPI Multiplier
1913,1913-01-01,9.8,26.32357143
1913,1913-02-01,9.8,26.32357143
1913,1913-03-01,9.8,26.32357143
1913,1913-04-01,9.8,26.32357143
1913,1913-05-01,9.7,26.59494845
1913,1913-06-01,9.8,26.32357143
1913,1913-07-01,9.9,26.05767677
1913,1913-08-01,9.9,26.05767677
1913,1913-09-01,10,25.7971
1913,1913-10-01,10,25.7971
1913,1913-11-01,10.1,25.54168317
1913,1913-12-01,10,25.7971
1914,1914-01-01,10,25.7971
1914,1914-02-01,9.9,26.05767677
1914,1914-03-01,9.9,26.05767677
1914,1914-04-01,9.8,26.32357143
1914,1914-05-01,9.9,26.05767677
1914,1914-06-01,9.9,26.05767677
1914,1914-07-01,10,25.7971
1914,1914-08-01,10.2,25.29127451
1914,1914-09-01,10.2,25.29127451
1914,1914-10-01,10.1,25.54168317
1914,1914-11-01,10.2,25.29127451
1914,1914-12-01,10.1,25.54168317
1915,1915-01-01,10.1,25.54168317
1915,1915-02-01,10,25.7971
1915,1915-03-01,9.9,26.05767677
1915,1915-04-01,10,25.7971
1915,1915-05-01,10.1,25.54168317
1915,1915-06-01,10.1,25.54168317
1915,1915-07-01,10.1,25.54168317
1915,1915-08-01,10.1,25.54168317
1915,1915-09-01,10.1,25.54168317
1915,1915-10-01,10.2,25.29127451
1915,1915-11-01,10.3,25.04572816
1915,1915-12-01,10.3,25.04572816
1916,1916-01-01,10.4,24.80490385
1916,1916-02-01,10.4,24.80490385
1916,1916-03-01,10.5,24.56866667
1916,1916-04-01,10.6,24.33688679
1916,1916-05-01,10.7,24.10943925
1916,1916-06-01,10.8,23.8862037
1916,1916-07-01,10.8,23.8862037
1916,1916-08-01,10.9,23.66706422
1916,1916-09-01,11.1,23.24063063
1916,1916-10-01,11.3,22.82929204
1916,1916-11-01,11.5,22.43226087
1916,1916-12-01,11.6,22.23887931
1917,1917-01-01,11.7,22.04880342
1917,1917-02-01,12,21.49758333
1917,1917-03-01,12,21.49758333
1917,1917-04-01,12.6,20.47388889
1917,1917-05-01,12.8,20.15398438
1917,1917-06-01,13,19.84392308
1917,1917-07-01,12.8,20.15398438
1917,1917-08-01,13,19.84392308
1917,1917-09-01,13.3,19.39631579
1917,1917-10-01,13.5,19.10896296
1917,1917-11-01,13.5,19.10896296
1917,1917-12-01,13.7,18.83
1918,1918-01-01,14,18.4265
1918,1918-02-01,14.1,18.2958156
1918,1918-03-01,14,18.4265
1918,1918-04-01,14.2,18.16697183
1918,1918-05-01,14.5,17.79110345
1918,1918-06-01,14.7,17.54904762
1918,1918-07-01,15.1,17.08417219
1918,1918-08-01,15.4,16.75136364
1918,1918-09-01,15.7,16.43127389
1918,1918-10-01,16,16.1231875
1918,1918-11-01,16.3,15.82644172
1918,1918-12-01,16.5,15.63460606
1919,1919-01-01,16.5,15.63460606
1919,1919-02-01,16.2,15.9241358
1919,1919-03-01,16.4,15.72993902
1919,1919-04-01,16.7,15.44736527
1919,1919-05-01,16.9,15.26455621
1919,1919-06-01,16.9,15.26455621
1919,1919-07-01,17.4,14.82591954
1919,1919-08-01,17.7,14.57463277
1919,1919-09-01,17.8,14.49275281
1919,1919-10-01,18.1,14.25254144
1919,1919-11-01,18.5,13.94437838
1919,1919-12-01,18.9,13.64925926
1920,1920-01-01,19.3,13.36637306
1920,1920-02-01,19.5,13.22928205
1920,1920-03-01,19.7,13.09497462
1920,1920-04-01,20.3,12.70793103
1920,1920-05-01,20.6,12.52286408
1920,1920-06-01,20.9,12.34311005
1920,1920-07-01,20.8,12.40245192
1920,1920-08-01,20.3,12.70793103
1920,1920-09-01,20,12.89855
1920,1920-10-01,19.9,12.96336683
1920,1920-11-01,19.8,13.02883838
1920,1920-12-01,19.4,13.29747423
1921,1921-01-01,19,13.57742105
1921,1921-02-01,18.4,14.02016304
1921,1921-03-01,18.3,14.09677596
1921,1921-04-01,18.1,14.25254144
1921,1921-05-01,17.7,14.57463277
1921,1921-06-01,17.6,14.65744318
1921,1921-07-01,17.7,14.57463277
1921,1921-08-01,17.7,14.57463277
1921,1921-09-01,17.5,14.7412
1921,1921-10-01,17.5,14.7412
1921,1921-11-01,17.4,14.82591954
1921,1921-12-01,17.3,14.9116185
1922,1922-01-01,16.9,15.26455621
1922,1922-02-01,16.9,15.26455621
1922,1922-03-01,16.7,15.44736527
1922,1922-04-01,16.7,15.44736527
1922,1922-05-01,16.7,15.44736527
